microinvest_code,name_bg,unit_raw,unit,quantity,purchase_price
04060019,"ДЪГА 45-  1/2"" ВЪТР.РЕЗБА МЕГА",БР.,pcs,35.000,0.00
04060026,"ДЪГА 45-  3/4"" М/Ж МЕГА",БР.,pcs,4.000,0.41
04060021,"ДЪГА 45-1    "" ВЪТР.РЕЗБА МЕГА",БР.,pcs,5.000,0.00
04060027,"ДЪГА 45-1    "" М/Ж МЕГА",БР.,pcs,8.000,0.51
04060043,"ДЪГА 90 ВЪН.ВЪТР.РЕЗ.  1/2""МЕГ",БР.,pcs,3.000,0.00
04060044,"ДЪГА 90 ВЪН.ВЪТР.РЕЗ.  3/4""МЕГ",БР.,pcs,4.000,0.00
04060045,"ДЪГА 90 ВЪН.ВЪТР.РЕЗ.1    ""МЕГ",БР.,pcs,2.000,0.00
04060049,"ДЪГА 90.ВЪТР.РЕЗ.  1/2"" МЕГА**",БР.,pcs,14.000,0.00
04060050,"ДЪГА 90.ВЪТР.РЕЗ.  3/4"" МЕГА**",БР.,pcs,4.000,0.00
04060051,"ДЪГА 90.ВЪТР.РЕЗ.1    "" МЕГА**",БР.,pcs,2.000,0.00
07010375,ДЪЖДОБРАН К-Т С БОТ.И РЪК/15/*,БР.,pcs,27.000,0.31
05070630,ДЮБЕЛ ЗА WC 6х100к-т PROMASTER,К-Т,set,838.000,0.17
05070628,ДЮБЕЛ ЗА WC 6х80 к-т PROMASTER,К-Т,set,224.000,0.17
05070629,ДЮБЕЛ ЗА WC 6х90 к-т PROMASTER,К-Т,set,858.000,0.17
07011116,ДЮЗА GARDEN-ЗА ХЕРБИЦИДИ,БР.,pcs,9.000,2.54
CH12036,ДЮЗА ЗА ПРЪСК.PVC ВИСО.МТ-115С,БР,pcs,2821.000,0.11
CH12037,ДЮЗА ЗА ПРЪСК.PVC ДВОЙ.МТ-115D,БР,pcs,3623.000,0.09
CH12034,ДЮЗА ЗА ПРЪСК.PVC МТ-115А,БР,pcs,1433.000,0.09
CH12035,ДЮЗА ЗА ПРЪСК.PVC МТ-115В,БР,pcs,1148.000,0.09
CH12074,ДЮЗА ЛОЗ.ХЕРБИЦ.5отв.МТ-113,БР,pcs,1032.000,0.17
CH12073,ДЮЗА ЛОЗ.ХЕРБИЦ.8отв.МТ-112,БР,pcs,1216.000,0.17
